Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
25/02/2024 02:00:00,,,94.133,3.7354,0.0052,1.128,10.231,1.692,11.923,,,95.094,4.04,0.0094,0.9152,7.075,2.385,9.46
25/02/2024 00:00:00,93.503,84.763,93.948,3.766,0.0075,1.169,7.164,2.29,9.454,95.76,85.566,95.26,4.0289,0.0095,0.8785,8.658,3.235,11.893
24/02/2024 22:00:00,,,93.222,3.6524,0.0122,1.33,8.558,2.06,10.618,,,95.214,4.4118,0.0137,0.8885,7.666,7.414,15.08
24/02/2024 20:00:00,92.876,85.134,93.127,3.5958,0.0067,1.351,11.331,1.349,12.68,95.41,85.216,95.028,3.9353,0.0105,0.9299,6.988,0.964,7.952
24/02/2024 18:00:00,,,94.44,3.4415,0.0052,1.06,12.587,0.618,13.205,,,95.056,4.2834,0.0111,0.9235,16.174,15.565,31.739
24/02/2024 16:00:00,93.752,84.716,94.066,3.5364,0.0105,1.143,10.642,1.495,12.137,95.996,85.886,95.495,4.0006,0.0089,0.8263,13.454,2.199,15.653
24/02/2024 14:00:00,,,92.928,3.6496,0.0093,1.395,4.887,0.349,5.236,,,95.052,3.95,0.0129,0.9244,8.8,0.4,9.2
24/02/2024 12:00:00,92.683,85.01,93.339,3.3793,0.007,1.304,3.291,0.224,3.515,94.53,85.937,94.746,3.8376,0.0108,0.9924,6.54,0.908,7.448
24/02/2024 10:00:00,,,93.492,3.5118,0.0085,1.27,2.28,0.338,2.618,,,95.722,3.8051,0.0138,0.776,1.961,0.619,2.58
24/02/2024 08:00:00,93.818,85.05,94.079,3.6658,0.01,1.14,12.76,3.441,16.201,96.05,85.737,95.763,3.6634,0.0137,0.7671,3.067,0.491,3.558
